id_leggo,id_ext,casa,id_leggo_prop_principal,id_ext_prop_principal,id_ext_prop_principal_raiz,uri_prop_principal_raiz,interesse
c7f4c574548d30eba5a929b39e1d91af,2190525,camara,NA,2174004,288051,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=288051,transparencia-e-integridade
c8f4872c6310a3ffe313710070444816,2273968,camara,NA,2253619,2244219,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2244219,pandemia
c9201d866ee41dd64038eb65778fe502,2215040,camara,NA,2112099,2170712,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2170712,socioambiental
c9a1fb6798b71228104b482640518e61,2259905,camara,NA,2254964,2239398,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2239398,pandemia
c9b9a6ce47d48ee955c012997dcdc8b3,2270279,camara,NA,2254814,2254814,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2254814,pandemia
ca014fd0c07d6afeb39e1f526b9eaefd,2190559,camara,NA,490263,490263,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=490263,transparencia-e-integridade
cb15193e3c3174dfa9fc80cfdf30d26e,2196953,camara,NA,2190905,2169379,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2169379,socioambiental
cb4dfdd19944f8336113e352be425ec9,2250879,camara,NA,2239371,2239122,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2239122,transparencia-e-integridade
cc89a2b1fd9c44b6eb12e54ecd78d7a1,2219466,camara,NA,2077448,2077448,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2077448,socioambiental
cd1eb583b4a2c6f7ab6b2d6a7f5b16d0,2251625,camara,NA,2239371,2239122,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2239122,transparencia-e-integridade
cd36577bd7be93a16a4a5de7ede0c6e8,1212659,camara,NA,1049207,2192114,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2192114,licenciamento-ambiental
cd5509fda935920ad75c1e1a1c0695a9,2250863,camara,NA,2239398,2239398,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2239398,pandemia
cd718fc669ddbbc5ead682da1768bace,2226382,camara,NA,1197929,539988,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=539988,socioambiental
cd9a95e42476797662e46694b94c029e,2271998,camara,NA,2194789,2194789,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2194789,pandemia
ce112216bee2aa963f43555257ca5c67,2212138,camara,NA,2148738,2148738,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2148738,socioambiental
ce2e098a633479fc7f2c0f973f74d674,2220655,camara,NA,2210926,301799,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=301799,socioambiental
