id_senado,sigla_tipo_senado,numero_senado,ano_senado,id_camara,sigla_tipo_camara,numero_camara,ano_camara
,,,,1594768,PL,2478,2015
,,,,2168921,PLP,479,2018
137269,PLP,00157,2019,,,,
,,,,2184492,PL,10892,2018
124246,PLS,00761,2015,,,,
,,,,521460,PL,2405,2011
145186,PL,04969,2020,,,,
,,,,501680,PLP,53,2011
140505,PL,00113,2020,,,,
,,,,2145273,PEC,348,2017
,,,,2078197,PL,4554,2016
,,,,1279003,PL,1554,2015
,,,,497482,PL,938,2011
,,,,2199455,PL,2543,2019
,,,,513871,PL,1924,2011
122270,PLS,00461,2015,,,,
,,,,2023916,PL,3349,2015
,,,,2087766,PL,5539,2016
114624,PLC,00072,2013,510021,PL,1654,2011
119765,PLS,00053,2015,,,,
,,,,1198815,PL,1051,2015
,,,,2183472,PLP,536,2018
,,,,2242782,PL,1459,2020
131995,PLC,00171,2017,2091857,PL,5826,2016
,,,,2225507,PLN,32,2019
,,,,2078109,PL,4540,2016
,,,,496975,PL,879,2011
,,,,1279670,PEC,47,2015
,,,,495550,PL,783,2011
102989,PLS,00651,2011,,,,
,,,,621519,PEC,422,2014
,,,,2261937,PLP,227,2020
136730,PL,02832,2019,,,,
,,,,568314,PL,5174,2013
,,,,2199525,PL,2564,2019
,,,,944734,PL,72,2015
,,,,552286,PL,4245,2012
,,,,2237147,PL,297,2020
,,,,2121790,PL,6759,2016
,,,,946693,PL,369,2015
,,,,2237708,PL,360,2020
,,,,2179377,PL,10438,2018
128429,PLS,00066,2017,,,,
,,,,2253287,PL,2784,2020
,,,,552942,PL,4298,2012
,,,,2255617,PL,3407,2020
,,,,2080678,PL,4854,2016
,,,,598934,PL,6665,2013
,,,,997030,PL,739,2015
,,,,2258970,PL,3996,2020
,,,,2159964,PL,8991,2017
,,,,602575,PL,6843,2013
,,,,2081806,PL,4963,2016
131753,PLS,00470,2017,,,,
,,,,499941,PL,1204,2011
,,,,2198218,PL,2299,2019
,,,,2257838,PL,3820,2020
,,,,2088283,PEC,240,2016
,,,,581549,PL,5796,2013
,,,,2017606,PL,3291,2015
,,,,539437,PL,3570,2012
,,,,2112189,PL,6175,2016
,,,,490959,PL,55,2011
111874,PLS,00101,2013,,,,
,,,,2191949,PL,762,2019
139648,PL,05742,2019,,,,
,,,,2190457,PL,27,2019
